Municipality,Total Shops,Compliant,Partial,Non-Compliant,Avg Score,Risk Hotspots
Mandeni,133,32,91,10,56.1,Mtshali Store ; Siwela Tuckshop; Cornhouse Tuckshop; Thengeduze Tuckshop; Ayele
Ndwedwe,127,11,101,15,50.2,Mkhulu's Tuck Shop; Dedeligazi; Phakathwayo Tuck Shop; Demo Tuckshop; Entsheni Tuck Shop
KwaDukuza,125,14,105,6,52.2,Zanokuhle Tuck Shop; Ezinqoleni Tuck Shop; Ali Supermarket; Mandla Tuck shop; Sondela Tuck shop
Kwadukuza,72,12,53,7,54.8,KwaZulu Tuckshop; Kwalubhozo Tuckshop; KG Tuckshop; John Tuckshop; Khula kancane
Maphumulo,50,7,37,6,52.6,bhodlindlala store ; Bitos; Syobekicebo Tuck Shop; KwaMhlongo Spaza Shop; Maphumulo Supermarket
NDWEDWE,49,12,33,4,56.6,KwaNgcobo Store; Magcino Tuckshop; Ogonothini; Futhi Spaza
MAPHUMULO,24,3,16,5,51.2,Mbalenhle Tuckshop; Veli Spaza; Khazimula; Zamimpilo Tuckshop; Ntuli Tuckshop
KWADUKUZA,7,3,3,1,60.0,Melville Supermarket
Kway,1,1,0,0,70.0,
Mandini,1,0,1,0,50.0,
Ndwedwe srea,1,0,1,0,40.0,
Ndwedwe area,1,0,0,1,35.0,Kwaphumuzumlomo
Mandeni 9,1,0,1,0,40.0,
KwaDukua,1,0,1,0,60.0,
